id,internal_id,title_abbreviation,address,price,price_per_unit_area,size_with_square_meter,construction_year,levels,bedrooms,bathrooms,date,extraction_date,geo_lat,geo_lng,company_title,account_id,ad_group_id,url,dimos,perioxi,type,area,price_per_area,level_list,min_level,level_length,temp_no,temp_date_unit,days_passed
814546542,47119910,Διαμέρισμα 64 τ.μ.,Αθήνα (Κουντουριώτικα),900.0,14,64 τ.μ.,1970.0,['4'],2.0,2.0,πριν από 1 εβδομάδα,2023-06-01,37.98289809159743,23.75334006408932,,1923447.0,459167.0,https://www.xe.gr/property/d/enoikiaseis-katoikion/814546542/athhna-koyntoyriwtika-900-64,Αθήνα,Κουντουριώτικα,Διαμέρισμα,64.0,14.0625,[4.0],4.0,1,1,εβ,7
813800615,47075816,Διαμέρισμα 62 τ.μ.,Αθήνα (Παναθηναϊκό Στάδιο),540.0,9,62 τ.μ.,1965.0,['0.5'],1.0,1.0,πριν από 2 εβδομάδες,2023-06-01,37.96671734314891,23.74081103063706,,68169.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/813800615/athhna-panathhnaiko-stadio-540-62,Αθήνα,Παναθηναϊκό Στάδιο,Διαμέρισμα,62.0,8.709677419354838,[0.5],0.5,1,2,εβ,14
815037085,47141313,Διαμέρισμα 63 τ.μ.,Αθήνα (Ιλίσια),690.0,11,63 τ.μ.,,['4'],,,πριν από 2 ημέρες,2023-06-01,37.977173093028746,23.758632871175536,,517655.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/815037085/athhna-ilisia-690-63,Αθήνα,Ιλίσια,Διαμέρισμα,63.0,10.952380952380953,[4.0],4.0,1,2,ημ,2
814299130,47108682,Διαμέρισμα 64 τ.μ.,Αθήνα (Παγκράτι),600.0,9,64 τ.μ.,,['3'],1.0,1.0,πριν από 1 εβδομάδα,2023-06-01,37.96866643450921,23.74812798131943,,2144995.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814299130/athhna-pagkrati-600-64,Αθήνα,Παγκράτι,Διαμέρισμα,64.0,9.375,[3.0],3.0,1,1,εβ,7
814925936,47136164,Διαμέρισμα 70 τ.μ.,Αθήνα (Παγκράτι),900.0,13,70 τ.μ.,1980.0,['2'],2.0,1.0,πριν από 3 ημέρες,2023-06-01,37.96706131292779,23.75463583820148,,875388.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814925936/athhna-pagkrati-900-70,Αθήνα,Παγκράτι,Διαμέρισμα,70.0,12.857142857142858,[2.0],2.0,1,3,ημ,3
814756850,47130153,Διαμέρισμα 73 τ.μ.,Αθήνα (Χίλτον),650.0,9,73 τ.μ.,1970.0,['0'],2.0,1.0,πριν από 5 ημέρες,2023-06-01,37.977705,23.753436,Inovart Properties,1907235.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814756850/athhna-chilton-650-73,Αθήνα,Χίλτον,Διαμέρισμα,73.0,8.904109589041095,[0.0],0.0,1,5,ημ,5
814127103,47100323,Διαμέρισμα 56 τ.μ.,Αθήνα (Κολιάτσου),450.0,8,56 τ.μ.,1966.0,['3'],1.0,1.0,πριν από 2 εβδομάδες,2023-06-01,38.01083075112764,23.733333865174103,,463519.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814127103/athhna-koliatsoy-450-56,Αθήνα,Κολιάτσου,Διαμέρισμα,56.0,8.035714285714286,[3.0],3.0,1,2,εβ,14
814897021,47133747,Διαμέρισμα 35 τ.μ.,Αθήνα (Κάτω Πετράλωνα),380.0,11,35 τ.μ.,,['3'],,,πριν από 3 ημέρες,2023-06-01,37.97041797222733,23.70410926388649,,2267023.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814897021/athhna-katw-petralwna-380-35,Αθήνα,Κάτω Πετράλωνα,Διαμέρισμα,35.0,10.857142857142858,[3.0],3.0,1,3,ημ,3
814054467,47096611,Διαμέρισμα 77 τ.μ.,Αθήνα (Πλατεία Αττικής),450.0,6,77 τ.μ.,1967.0,['3'],2.0,1.0,πριν από 2 εβδομάδες,2023-06-01,37.99369317485704,23.72503406674173,,1422721.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814054467/athhna-plateia-attikhs-450-77,Αθήνα,Πλατεία Αττικής,Διαμέρισμα,77.0,5.8441558441558445,[3.0],3.0,1,2,εβ,14
814707488,47128401,Διαμέρισμα 55 τ.μ.,Αθήνα (Άγιος Θωμάς),500.0,9,55 τ.μ.,1980.0,['0.5'],1.0,1.0,πριν από 6 ημέρες,2023-06-01,37.981246,23.760359,Ground About Real Estate,2239726.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814707488/athhna-agios-thwmas-500-55,Αθήνα,Άγιος Θωμάς,Διαμέρισμα,55.0,9.090909090909092,[0.5],0.5,1,6,ημ,6
